dmy float,dmy,irtemp c,min c,max c
1835.2267759562842,1835-03-24,,,
1835.2295081967213,1835-03-25,,,
1835.2322404371585,1835-03-26,,,
1835.2349726775956,1835-03-27,,,
1835.2377049180327,1835-03-28,,,
1835.24043715847,1835-03-29,,,
1835.2431693989072,1835-03-30,,,
1835.2459016393443,1835-03-31,,,
1835.0109289617487,1835-01-04,,,
1835.0956284153006,1835-02-04,,,
1835.172131147541,1835-03-04,,,
1835.2568306010928,1835-04-04,,,
1835.3387978142077,1835-05-04,,,
1835.4234972677596,1835-06-04,,,
1835.5054644808743,1835-07-04,,,
1835.5901639344263,1835-08-04,,,
1835.6748633879781,1835-09-04,,,
1835.7568306010928,1835-10-04,,,
1835.8415300546449,1835-11-04,,,
1835.9234972677596,1835-12-04,,,
1835.2814207650274,1835-04-13,,,
1835.2841530054645,1835-04-14,,,
1835.2868852459017,1835-04-15,,,
1835.2896174863388,1835-04-16,,,
1835.292349726776,1835-04-17,,,
1835.295081967213,1835-04-18,,,
1835.2978142076502,1835-04-19,,,
1835.3005464480875,1835-04-20,,,
1835.3032786885246,1835-04-21,,,
1835.3060109289618,1835-04-22,,,
1835.308743169399,1835-04-23,,,
1835.311475409836,1835-04-24,,,
1835.3142076502731,1835-04-25,,,
1835.3169398907103,1835-04-26,,,
1835.3196721311476,1835-04-27,,,
1835.3224043715848,1835-04-28,,,
1835.3251366120219,1835-04-29,,,
1835.327868852459,1835-04-30,,,
1835.0136612021859,1835-01-05,,,
1835.0983606557377,1835-02-05,,,
1835.1748633879781,1835-03-05,,,
1835.25956284153,1835-04-05,,,
1835.3415300546449,1835-05-05,,,
1835.4262295081967,1835-06-05,,,
1835.5081967213114,1835-07-05,,,
1835.5928961748634,1835-08-05,,,
1835.6775956284152,1835-09-05,,,
1835.75956284153,1835-10-05,,,
1835.844262295082,1835-11-05,,,
1835.9262295081967,1835-12-05,,,
1835.363387978142,1835-05-13,,,
1835.3661202185792,1835-05-14,,,
1835.3688524590164,1835-05-15,,,
1835.3715846994535,1835-05-16,,,
1835.3743169398906,1835-05-17,,,
1835.377049180328,1835-05-18,,,
