Year,Month,Daily,Max (°F),Min (°F),Max (°C),Min (°C)
1873,12,9,49.1,42.5,9.5,5.8
1873,12,10,47.8,29.9,8.8,-1.2
1873,12,11,43.5,29.2,6.4,-1.6
1873,12,12,44.4,31.5,6.9,-0.3
1873,12,13,45.9,40.9,7.7,4.9
1873,12,14,44.8,39.8,7.1,4.3
1873,12,15,49.4,41.9,9.7,5.5
1873,12,16,55.7,44.5,13.2,6.9
1873,12,17,54.6,47.2,12.6,8.4
1873,12,18,54.5,45.1,12.5,7.3
1873,12,19,48,38.5,8.9,3.6
1873,12,20,46.1,37.5,7.8,3.1
1873,12,21,50.3,39.3,10.2,4.1
1873,12,22,51.9,39.3,11.1,4.1
1873,12,23,45.5,37.7,7.5,3.2
1873,12,24,53,43.9,11.7,6.6
1873,12,25,50.3,43.4,10.2,6.3
1873,12,26,52.4,44.9,11.3,7.2
1873,12,27,49.8,29.7,9.9,-1.3
1873,12,28,41.5,25,5.3,-3.9
1873,12,29,44.7,24.8,7.1,-4
1873,12,30,49.8,43.1,9.9,6.2
1873,12,31,47.8,38.2,8.8,3.4
1874,1,1,45,37.6,7.2,3.1
